Gene_Name	Normal_Score	Disease_Score	Association_Score	Association_Score_Scaled	Transcribed in normal/Disease
CDKN2A	38	344	382	100.0	Disease
TRAF4	28	350	378	98.95	Disease
NUP62	12	360	372	97.38	Disease
RFX5	14	358	372	97.38	Disease
WDR8	24	338	362	94.76	Disease
TAF5L	4	356	360	94.24	Disease
POLE	30	330	360	94.24	Disease
DPF2	6	350	356	93.19	Disease
PEX19	14	340	354	92.67	Disease
STXBP1	6	348	354	92.67	Disease
TRAM2	6	346	352	92.14	Disease
SPAG5	8	344	352	92.14	Disease
SAC3D1	24	328	352	92.14	Disease
BRCA1	2	350	352	92.14	Disease
TK1	2	346	348	91.1	Disease
IVD	16	330	346	90.57	Disease
FANCG	18	326	344	90.05	Disease
VRK1	12	330	342	89.52	Disease
SLC16A3	2	338	340	89.0	Disease
GINS2	16	320	336	87.95	Disease
TOMM34	4	332	336	87.95	Disease
TEAD4	2	334	336	87.95	Disease
KIAA0649	30	304	334	87.43	Disease
WASL	4	330	334	87.43	Disease
DNMT1	6	326	332	86.9	Disease
ERCC3	22	310	332	86.9	Disease
KNTC1	16	314	330	86.38	Disease
TMED1	4	326	330	86.38	Disease
ACOT9	42	286	328	85.86	Disease
CDK2AP2	28	300	328	85.86	Disease
WASF1	12	316	328	85.86	Disease
SUPV3L1	8	318	326	85.33	Disease
WDHD1	14	312	326	85.33	Disease
PPP4C	28	296	324	84.81	Disease
NUP155	20	304	324	84.81	Disease
FADS3	14	310	324	84.81	Disease
POLA2	32	290	322	84.29	Disease
RANGAP1	14	308	322	84.29	Disease
DMXL2	12	310	322	84.29	Disease
DDX11	4	318	322	84.29	Disease
E2F6	12	310	322	84.29	Disease
GOLM1	32	290	322	84.29	Disease
KIF15	16	306	322	84.29	Disease
FOXM1	32	290	322	84.29	Disease
PLK1	32	290	322	84.29	Disease
ATXN2	12	308	320	83.76	Disease
SOAT1	14	306	320	83.76	Disease
FAM193A	8	312	320	83.76	Disease
MRE11A	18	302	320	83.76	Disease
DTX4	26	294	320	83.76	Disease
PIK3R3	20	300	320	83.76	Disease
DNA2	26	292	318	83.24	Disease
RSRC1	6	312	318	83.24	Disease
TYK2	14	304	318	83.24	Disease
EXO1	42	276	318	83.24	Disease
CEP152	28	290	318	83.24	Disease
CENPI	20	296	316	82.71	Disease
DFNA5	28	288	316	82.71	Disease
KIF23	6	308	314	82.19	Disease
CCNE1	10	304	314	82.19	Disease
MBOAT7	38	276	314	82.19	Disease
ITPK1	28	286	314	82.19	Disease
GTF2H3	2	312	314	82.19	Disease
CSRNP2	18	294	312	81.67	Disease
SPR	8	304	312	81.67	Disease
SPC25	12	300	312	81.67	Disease
ELAC2	20	290	310	81.14	Disease
PXN	6	304	310	81.14	Disease
MAGEF1	28	282	310	81.14	Disease
KIF20B	14	296	310	81.14	Disease
CNPY3	2	308	310	81.14	Disease
E2F1	22	288	310	81.14	Disease
RIC8B	8	302	310	81.14	Disease
EXOSC2	6	302	308	80.62	Disease
ZNF629	2	306	308	80.62	Disease
CDCA8	42	266	308	80.62	Disease
RAD51	38	270	308	80.62	Disease
CCNF	36	272	308	80.62	Disease
SLC35D2	4	304	308	80.62	Disease
TIPIN	16	292	308	80.62	Disease
TPRA1	20	286	306	80.1	Disease
CENPJ	26	280	306	80.1	Disease
HEXA	20	286	306	80.1	Disease
OIP5	4	302	306	80.1	Disease
C1orf135	30	276	306	80.1	Disease
USF2	12	294	306	80.1	Disease
RHOF	4	302	306	80.1	Disease
SMG5	12	292	304	79.57	Disease
GPR172A	8	296	304	79.57	Disease
PPAP2C	20	284	304	79.57	Disease
DAP	24	280	304	79.57	Disease
POU2F1	10	294	304	79.57	Disease
SKIV2L	18	286	304	79.57	Disease
ZBED1	2	302	304	79.57	Disease
DAXX	4	300	304	79.57	Disease
AP2B1	4	298	302	79.05	Disease
DOLK	14	288	302	79.05	Disease
C16orf68	4	296	300	78.52	Disease
CDC73	20	280	300	78.52	Disease
ANGEL1	12	288	300	78.52	Disease
DBN1	16	284	300	78.52	Disease
SLC41A3	6	294	300	78.52	Disease
NCSTN	14	286	300	78.52	Disease
DPY19L1	2	298	300	78.52	Disease
CDK9	24	276	300	78.52	Disease
CAD	12	288	300	78.52	Disease
EDN3	28	272	300	78.52	Normal
CD3EAP	22	276	298	78.0	Disease
ETV7	16	282	298	78.0	Disease
BBS1	8	290	298	78.0	Disease
DTWD1	6	292	298	78.0	Disease
KRT7	34	264	298	78.0	Disease
PES1	8	288	296	77.48	Disease
MICB	12	284	296	77.48	Disease
TXLNA	14	282	296	77.48	Disease
MKS1	6	290	296	77.48	Disease
ACP6	12	284	296	77.48	Disease
SLC38A10	16	280	296	77.48	Disease
SLC39A1	24	270	294	76.95	Disease
LETMD1	4	290	294	76.95	Disease
SCCPDH	24	270	294	76.95	Disease
PRPF19	8	286	294	76.95	Disease
PCIF1	6	288	294	76.95	Disease
CDC25C	4	290	294	76.95	Disease
MTOR	6	288	294	76.95	Disease
ABHD11	8	286	294	76.95	Disease
DSCR3	8	284	292	76.43	Disease
ZNF384	12	280	292	76.43	Disease
UGGT2	16	276	292	76.43	Disease
PXMP2	12	280	292	76.43	Disease
SETDB1	6	286	292	76.43	Disease
SLC25A4	2	290	292	76.43	Disease
SLC10A3	24	266	290	75.9	Disease
NPM3	14	276	290	75.9	Disease
JOSD1	12	278	290	75.9	Disease
C2CD2	6	284	290	75.9	Disease
MLL4	18	270	288	75.38	Disease
PRKRIP1	30	258	288	75.38	Disease
AKAP8L	14	274	288	75.38	Disease
DENND1A	16	272	288	75.38	Disease
INVS	4	284	288	75.38	Disease
MTHFSD	8	280	288	75.38	Disease
MRPL11	16	272	288	75.38	Disease
C12orf52	12	276	288	75.38	Disease
MED22	14	274	288	75.38	Disease
THOP1	8	280	288	75.38	Disease
ZNF444	8	278	286	74.86	Disease
ZNF473	24	262	286	74.86	Disease
NEU1	40	246	286	74.86	Disease
TAF5	2	284	286	74.86	Disease
RNF113A	4	282	286	74.86	Disease
GPATCH1	18	268	286	74.86	Disease
PTRH2	30	256	286	74.86	Disease
TOR3A	16	270	286	74.86	Disease
CCS	18	268	286	74.86	Disease
BOP1	4	282	286	74.86	Disease
TAOK2	28	256	284	74.33	Disease
STK25	6	278	284	74.33	Disease
ERF	20	264	284	74.33	Disease
CSPG5	12	272	284	74.33	Disease
DENND4B	14	270	284	74.33	Disease
MRTO4	12	272	284	74.33	Disease
DSN1	8	276	284	74.33	Disease
CALML4	18	266	284	74.33	Disease
FXN	10	274	284	74.33	Disease
EHMT2	30	254	284	74.33	Disease
PIAS2	2	282	284	74.33	Disease
CIT	28	254	282	73.81	Disease
CBS	40	242	282	73.81	Disease
POLD1	38	244	282	73.81	Disease
COPE	8	274	282	73.81	Disease
P11	28	254	282	73.81	Normal
ZBED4	10	272	282	73.81	Disease
G6PD	6	276	282	73.81	Disease
PAQR4	28	254	282	73.81	Disease
CIC	4	278	282	73.81	Disease
NF2	6	274	280	73.29	Disease
TRIM11	10	270	280	73.29	Disease
RBM41	24	256	280	73.29	Disease
HEMK1	8	272	280	73.29	Disease
ZSCAN29	8	272	280	73.29	Disease
DUS4L	30	250	280	73.29	Disease
TMEM106C	8	272	280	73.29	Disease
CP110	10	270	280	73.29	Disease
EP400	4	276	280	73.29	Disease
CENPO	4	276	280	73.29	Disease
BUB1	2	278	280	73.29	Disease
IGF2BP3	4	276	280	73.29	Disease
ARAF	16	264	280	73.29	Disease
UHRF1BP1	2	278	280	73.29	Disease
SENP2	8	272	280	73.29	Disease
NSUN5C	10	270	280	73.29	Disease
ATG7	4	274	278	72.76	Disease
PILRB	4	274	278	72.76	Disease
RFWD3	10	268	278	72.76	Disease
NEK9	4	274	278	72.76	Disease
PYCR1	12	266	278	72.76	Disease
VARS	6	272	278	72.76	Disease
G6PC3	4	274	278	72.76	Disease
CCNL2	2	276	278	72.76	Disease
DBP	18	258	276	72.24	Disease
MAZ	28	248	276	72.24	Disease
SNRNP40	16	260	276	72.24	Disease
SNX10	42	234	276	72.24	Disease
RBM14	32	244	276	72.24	Disease
PTTG3P	16	260	276	72.24	Disease
TMEM184C	14	262	276	72.24	Disease
TIMM17B	22	254	276	72.24	Disease
RPL39L	38	238	276	72.24	Disease
PMEPA1	22	254	276	72.24	Disease
ILKAP	6	270	276	72.24	Disease
PHTF1	14	262	276	72.24	Disease
KIAA0415	18	258	276	72.24	Disease
KIF20A	10	266	276	72.24	Disease
AFAP1	18	258	276	72.24	Disease
TBC1D1	14	262	276	72.24	Disease
KIAA0090	4	270	274	71.71	Disease
RAB26	8	266	274	71.71	Disease
DISP1	12	262	274	71.71	Disease
NUP93	14	260	274	71.71	Disease
RCL1	2	272	274	71.71	Disease
XPR1	8	266	274	71.71	Disease
C12orf43	8	266	274	71.71	Disease
TLN1	12	262	274	71.71	Disease
DZIP3	6	268	274	71.71	Disease
CTNS	14	260	274	71.71	Disease
GALNT10	38	236	274	71.71	Disease
CRISP3	28	246	274	71.71	Normal
NECAB3	6	268	274	71.71	Disease
WDR67	10	264	274	71.71	Disease
PUS1	12	262	274	71.71	Disease
PRIM2	12	260	272	71.19	Disease
GFER	34	238	272	71.19	Disease
CPSF1	2	270	272	71.19	Disease
WDYHV1	6	266	272	71.19	Disease
HHLA3	16	256	272	71.19	Disease
C17orf63	22	250	272	71.19	Disease
MYBL2	40	232	272	71.19	Disease
C14orf106	16	256	272	71.19	Disease
TSFM	12	260	272	71.19	Disease
SUOX	14	258	272	71.19	Disease
CCDC101	16	256	272	71.19	Disease
CREB3	30	242	272	71.19	Disease
SCMH1	32	240	272	71.19	Disease
DSG1	42	230	272	71.19	Normal
FAM64A	14	256	270	70.67	Disease
EXOSC5	20	250	270	70.67	Disease
CCDC25	12	258	270	70.67	Disease
CHD3	2	268	270	70.67	Disease
LMF2	14	256	270	70.67	Disease
TMCO3	10	260	270	70.67	Disease
LMNB2	24	246	270	70.67	Disease
RAI14	18	252	270	70.67	Disease
CDC25A	28	242	270	70.67	Disease
LONP1	10	258	268	70.14	Disease
SUV39H1	6	262	268	70.14	Disease
DNMT3B	20	248	268	70.14	Disease
MYBL1	2	266	268	70.14	Disease
TTL	8	260	268	70.14	Disease
NTHL1	10	258	268	70.14	Disease
USP39	10	258	268	70.14	Disease
NSD1	18	250	268	70.14	Disease
UCP2	4	262	266	69.62	Disease
JRK	2	264	266	69.62	Disease
ZXDC	10	256	266	69.62	Disease
TARBP2	24	242	266	69.62	Disease
CPSF2	2	264	266	69.62	Disease
DCAF15	2	264	266	69.62	Disease
ATF6	18	248	266	69.62	Disease
COQ4	2	264	266	69.62	Disease
SEMA4F	8	258	266	69.62	Disease
CDT1	16	250	266	69.62	Disease
PHYHIP	10	256	266	69.62	Normal
GEMIN6	4	260	264	69.1	Disease
RWDD2B	18	246	264	69.1	Disease
C14orf119	6	258	264	69.1	Disease
SERPINH1	24	240	264	69.1	Disease
ZNF317	8	256	264	69.1	Disease
UBXN8	2	262	264	69.1	Disease
ARHGEF3	18	244	262	68.57	Disease
ANKRD40	6	256	262	68.57	Disease
SDF2L1	2	260	262	68.57	Disease
C2orf68	20	242	262	68.57	Disease
CCDC99	26	236	262	68.57	Disease
TCF19	2	260	262	68.57	Disease
PALB2	6	256	262	68.57	Disease
NFIC	2	260	262	68.57	Disease
BMP1	28	234	262	68.57	Disease
TGM3	12	250	262	68.57	Normal
APEX2	4	258	262	68.57	Disease
SLC29A1	18	242	260	68.05	Disease
SLC35A4	8	252	260	68.05	Disease
CEP72	42	218	260	68.05	Disease
CLDN12	4	256	260	68.05	Disease
C17orf75	24	236	260	68.05	Disease
CENPM	42	218	260	68.05	Disease
ZBTB6	24	236	260	68.05	Disease
SH3D19	4	256	260	68.05	Disease
LPCAT1	40	220	260	68.05	Disease
SEC22C	4	256	260	68.05	Disease
RBBP5	16	244	260	68.05	Disease
UBIAD1	4	256	260	68.05	Disease
ALOX15B	30	230	260	68.05	Normal
NUS1	6	252	258	67.52	Disease
LSM10	4	254	258	67.52	Disease
BTBD10	8	250	258	67.52	Disease
ZNF576	2	256	258	67.52	Disease
ZNF346	4	254	258	67.52	Disease
BMPR2	6	252	258	67.52	Disease
SLC39A7	4	254	258	67.52	Disease
ALS2	6	252	258	67.52	Disease
AGBL5	30	228	258	67.52	Disease
DTNBP1	8	250	258	67.52	Disease
SLC5A1	16	242	258	67.52	Normal
MED9	12	246	258	67.52	Disease
MADD	2	254	256	67.0	Disease
CTSZ	24	232	256	67.0	Disease
RABL3	6	250	256	67.0	Disease
CHID1	8	248	256	67.0	Disease
ASB1	10	246	256	67.0	Disease
HP1BP3	10	246	256	67.0	Disease
GALNS	14	242	256	67.0	Disease
NUP188	22	234	256	67.0	Disease
TARS2	14	242	256	67.0	Disease
HSF1	2	254	256	67.0	Disease
AP3M2	12	244	256	67.0	Disease
UQCC	26	230	256	67.0	Disease
LIG1	26	230	256	67.0	Disease
TFIP11	10	246	256	67.0	Disease
APEH	10	246	256	67.0	Disease
TROAP	26	230	256	67.0	Disease
ZNF227	38	218	256	67.0	Disease
FBXO18	4	252	256	67.0	Disease
DNASE2	24	232	256	67.0	Disease
POLG2	6	250	256	67.0	Disease
IKBKG	36	220	256	67.0	Disease
BRPF1	16	240	256	67.0	Disease
EDC3	6	250	256	67.0	Disease
HSDL1	16	240	256	67.0	Disease
ID3	18	238	256	67.0	Disease
ZNF768	34	222	256	67.0	Disease
NUPL2	22	234	256	67.0	Disease
PLCG1	24	232	256	67.0	Disease
ANKRD11	8	248	256	67.0	Disease
GRAMD3	22	234	256	67.0	Disease
RCC2	6	248	254	66.48	Disease
EDC4	20	234	254	66.48	Disease
VMA21	8	246	254	66.48	Disease
UBE2M	20	234	254	66.48	Disease
ZNF248	18	236	254	66.48	Disease
GNAI2	14	240	254	66.48	Disease
DCTPP1	22	232	254	66.48	Disease
MGC2752	16	238	254	66.48	Disease
ORC1L	44	210	254	66.48	Disease
TMEFF1	32	222	254	66.48	Disease
TAF12	18	236	254	66.48	Disease
CCDC75	16	238	254	66.48	Disease
CFL2	4	250	254	66.48	Disease
CHTF18	4	250	254	66.48	Disease
CCDC88A	20	234	254	66.48	Disease
RGP1	14	240	254	66.48	Disease
EDEM2	12	242	254	66.48	Disease
UPK1A	38	216	254	66.48	Normal
PODXL	18	234	252	65.95	Disease
LAS1L	12	240	252	65.95	Disease
FBXO30	8	244	252	65.95	Disease
NSUN5B	24	228	252	65.95	Disease
